"","ID","Nazwa","prize","base_shop_url","shop_url"
"66",20,"Lodówka LG GBB62SWFFN Nofrost Bia³a",2399.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb62swffn-nofrost-biala"
"67",21,"Lodówka LG GBF567PZCZB Nofrost Srebrna",2899.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbf567pzczb-nofrost-srebrna"
"68",21,"Lodówka LG GBF567PZCZB Nofrost Srebrna",2899.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbf567pzczb-nofrost-srebrna"
"69",21,"Lodówka LG GBF567PZCZB Nofrost Srebrna",2899.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbf567pzczb-nofrost-srebrna"
"70",22,"Lodówka AMICA FK2415.3UX Srebrna",888,"neonet.pl","https://www.neonet.pl/lodowki-i-zamrazarki/amica-fk2415-3ux.html"
"71",22,"Lodówka AMICA FK2415.3UX Srebrna",888,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-amica-fk2415-3ux-srebrna"
"72",22,"Lodówka AMICA FK2415.3UX Srebrna",888,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-amica-fk2415-3ux-srebrna"
"73",22,"Lodówka AMICA FK2415.3UX Srebrna",888,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-amica-fk2415-3ux-srebrna"
"74",22,"Lodówka AMICA FK2415.3UX Srebrna",889,"mediamarkt.pl","https://mediamarkt.pl/agd/lodowka-amica-fk2415-3ux"
"75",22,"Lodówka AMICA FK2415.3UX Srebrna",1049,"euro.com.pl","https://www.euro.com.pl/lodowki/amica-fk2415-3ux.bhtml"
"76",23,"Lodówka SAMSUNG RB31FERNDEF Nofrost",1849.99,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rb31ferndef-nofrost"
"77",23,"Lodówka SAMSUNG RB31FERNDEF Nofrost",1849.99,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rb31ferndef-nofrost"
"78",23,"Lodówka SAMSUNG RB31FERNDEF Nofrost",1849.99,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rb31ferndef-nofrost"
"79",24,"Lodówka LG GBB61PZFFN Nofrost A+++",2249,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb61pzffn-nofrost-a"
"80",24,"Lodówka LG GBB61PZFFN Nofrost A+++",2249,"electro.pl","https://www.electro.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb61pzffn-nofrost-a"
"81",24,"Lodówka LG GBB61PZFFN Nofrost A+++",2249,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-lg-gbb61pzffn-nofrost-a"
"82",24,"Lodówka LG GBB61PZFFN Nofrost A+++",2249,"mediamarkt.pl","https://mediamarkt.pl/agd/lodowka-lg-gbb61pzffn"
"83",25,"Lodówka SAMSUNG RS68N8220B1 Side by side Kostkarka",4299,"avans.pl","https://www.avans.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rs68n8220b1-side-by-side-kostkarka"
"84",25,"Lodówka SAMSUNG RS68N8220B1 Side by side Kostkarka",4299,"mediaexpert.pl","https://www.mediaexpert.pl/agd/lodowki-i-zamrazarki/lodowki/lodowka-samsung-rs68n8220b1-side-by-side-kostkarka"
